product,title,rating,body
PSK PET MART White Twisted Chew Sticks for Dogs Pack of 1kg,"5.0 out of 5 stars
Good Quality Product for my Dog",5.0,"Price are reasonable, quality is very good
Read more"
PSK PET MART White Twisted Chew Sticks for Dogs Pack of 1kg,"4.0 out of 5 stars
Safe Dog Chewstick",4.0,"I have found it to be a safe product for dogs, although it is always better to give your pet occasionally a taste of other chewsticks (chicken or lamb or mutton flavour).
Read more"
PSK PET MART White Twisted Chew Sticks for Dogs Pack of 1kg,"5.0 out of 5 stars
Good product",5.0,"Best quality of the product and justify the price
Read more"
PSK PET MART White Twisted Chew Sticks for Dogs Pack of 1kg,"5.0 out of 5 stars
Best product, good price 👍",5.0,"All are good 👍
Read more"
PSK PET MART White Twisted Chew Sticks for Dogs Pack of 1kg,"3.0 out of 5 stars
It's too costly",3.0,"It's too costly
Read more"
PSK PET MART White Twisted Chew Sticks for Dogs Pack of 1kg,"5.0 out of 5 stars
Chew stick for dogs",5.0,"Product looks good and my dog relishes chewing it! However there is no label is manufacturers details in the packing which is surprising! I am worried about quality with no information on manufacturing or expiry date? I request Amazon to look into this aspect please!
Read more"
PSK PET MART White Twisted Chew Sticks for Dogs Pack of 1kg,"1.0 out of 5 stars
quality is very cheap",1.0,"cheap quality
Read more"
PSK PET MART White Twisted Chew Sticks for Dogs Pack of 1kg,"4.0 out of 5 stars
TWISTED !",4.0,"These rawhide strips are good treats for dogs or puppies.The twisted shape gives the strips strength, so they last longer.Good for polishing and strengthening pets' teeth.Also helps protect furniture and shoes from getting chewed up.Cannot comment on flavour, as requested, as I have not tasted a single piece !
Read more"
"Foodie Puppies Anti-Bacterial Pet Wet Wipes for Dogs, Puppies, & Pets with Fresh Apple Scent 6""x 8"" - Pack of 100 Wipes |(...","5.0 out of 5 stars
Superb product",5.0,"Received item on time. Wipes are perfect for the dogs. Has a really nice odour and doesn't irritate the dog in any way. Fantastic product. Go for it. 100pc each wipes packet.
Read more"
"Foodie Puppies Anti-Bacterial Pet Wet Wipes for Dogs, Puppies, & Pets with Fresh Apple Scent 6""x 8"" - Pack of 100 Wipes |(...","4.0 out of 5 stars
Good value",4.0,"I like that it is made in India and reasonably priced. It does what it is supposed to do. Only issue is that it difficult to take out a single tissue and most often you end up pulling out 2 or 3. Those probably get wasted since they dry out.
Read more"
"Foodie Puppies Anti-Bacterial Pet Wet Wipes for Dogs, Puppies, & Pets with Fresh Apple Scent 6""x 8"" - Pack of 100 Wipes |(...","5.0 out of 5 stars
Must buy",5.0,"This is a life changing thing. Easier to clean the pet without any hassle. So handy. So convenient  the fragrance is also not overwhelming. At least me and my dog like it. Cleaning ears face paws has become so much easy. Thanks
Read more"
"Foodie Puppies Anti-Bacterial Pet Wet Wipes for Dogs, Puppies, & Pets with Fresh Apple Scent 6""x 8"" - Pack of 100 Wipes |(...","5.0 out of 5 stars
Our favourite",5.0,"We have been using these wipes for our fur-babies for more than year.. We have become a regular.. Using daily basis, no side effects.. Sft and mild yet effective
Read more"
"Foodie Puppies Anti-Bacterial Pet Wet Wipes for Dogs, Puppies, & Pets with Fresh Apple Scent 6""x 8"" - Pack of 100 Wipes |(...","3.0 out of 5 stars
Doesn't work well",3.0,"It is difficult to clean cat fur with this wipes. It doesn't clean properly. Not that effective
Read more"
"Foodie Puppies Anti-Bacterial Pet Wet Wipes for Dogs, Puppies, & Pets with Fresh Apple Scent 6""x 8"" - Pack of 100 Wipes |(...","5.0 out of 5 stars
Up to the mark.",5.0,"Good product. Does the job.
Read more"
