product,title,rating,body
"Jumbo Colouring Book - Activity Colouring Book for 3 to 5 years old kids - Gift to children for painting, drawing and colo...","5.0 out of 5 stars
Great product",5.0,"Great product
Read more"
"Jumbo Colouring Book - Activity Colouring Book for 3 to 5 years old kids - Gift to children for painting, drawing and colo...","4.0 out of 5 stars
Good at this price",4.0,"Page quality is not bad. overall good.
Read more"
"Jumbo Colouring Book - Activity Colouring Book for 3 to 5 years old kids - Gift to children for painting, drawing and colo...","5.0 out of 5 stars
Great book for kids",5.0,"It's a nice coloring book for kids, I think parents must buy it to keep their kids engaged with such activity and the quality of page is also good.
Read more"
"Jumbo Colouring Book - Activity Colouring Book for 3 to 5 years old kids - Gift to children for painting, drawing and colo...","5.0 out of 5 stars
Nice",5.0,"Nicest
Read more"
"Jumbo Colouring Book - Activity Colouring Book for 3 to 5 years old kids - Gift to children for painting, drawing and colo...","3.0 out of 5 stars
Good coloring Book",3.0,"Coloring book for Kids. its similar to the coloring book kids get in their nursery(LKG/UKG)Nothing special. overall good book and go for it if you are looking for one such book
Read more"
"Jumbo Colouring Book - Activity Colouring Book for 3 to 5 years old kids - Gift to children for painting, drawing and colo...","5.0 out of 5 stars
Good buy",5.0,"Clear pictures and good quality
Read more"
"Jumbo Colouring Book - Activity Colouring Book for 3 to 5 years old kids - Gift to children for painting, drawing and colo...","4.0 out of 5 stars
It's good",4.0,"It's good with good amount of papers and thickness
Read more"
"Jumbo Colouring Book - Activity Colouring Book for 3 to 5 years old kids - Gift to children for painting, drawing and colo...","5.0 out of 5 stars
Good",5.0,"Very useful
Read more"
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"5.0 out of 5 stars
Spacious and good",5.0,"The American Tourister 32 Ltrs Red backpack is a fantastic choice for travelers and commuters alike. With its generous 32-liter capacity, it offers plenty of space to pack all your essentials for a day out or a short trip. The vibrant red color adds a bold and stylish flair, ensuring you stand out from the crowd. The backpack is well-designed with comfortable padded shoulder straps and a supportive back panel, making it comfortable to carry even when fully loaded. Additionally, its durable construction ensures it can withstand the rigors of daily use and travel. Whether you're navigating through crowded airports or bustling city streets, the American Tourister 32 Ltrs Red backpack is sure to be your reliable companion.
Read more"
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"4.0 out of 5 stars
Good product. Sturdy and enough compartments to keep things organised.",4.0,"Like the size, number of compartments.
Read more"
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"5.0 out of 5 stars
Great and stylish",5.0,"Lovely item
Read more"
