product,title,rating,body
"Prokick RNT-SL003 Sleeveless Sports Tshirt, Red/White","5.0 out of 5 stars
Size and fitting",5.0,"Size and fitting
Read more"
Yonex ET 903 Rubber Badminton Grip (Grey) Badminton Grip,"5.0 out of 5 stars
Good one",5.0,"Nice quality
Read more"
Yonex ET 903 Rubber Badminton Grip (Grey) Badminton Grip,"4.0 out of 5 stars
Comfortable",4.0,"Color seems dark compared to the product image and easily looks dirty after 1-2 games.
Read more"
Yonex ET 903 Rubber Badminton Grip (Grey) Badminton Grip,"3.0 out of 5 stars
OK!",3.0,"Not that good...but for the cost it's fine.
Read more"
Yonex ET 903 Rubber Badminton Grip (Grey) Badminton Grip,"5.0 out of 5 stars
Genuine.",5.0,"Branded products.
Read more"
Yonex ET 903 Rubber Badminton Grip (Grey) Badminton Grip,"5.0 out of 5 stars
Take it",5.0,"Best
Read more"
Yonex ET 903 Rubber Badminton Grip (Grey) Badminton Grip,"2.0 out of 5 stars
Costly",2.0,"Costly
Read more"
Yonex ET 903 Rubber Badminton Grip (Grey) Badminton Grip,"4.0 out of 5 stars
Good",4.0,"I received it in proper way
Read more"
Yonex ET 903 Rubber Badminton Grip (Grey) Badminton Grip,"1.0 out of 5 stars
Low quality of grip",1.0,"Very low quality
Read more"
"FEROC Fighter Set of 4 Pieces Aluminium Badminton Racket with 3 Pieces Feather Shuttles ,Aluminum, Multicolor","5.0 out of 5 stars
Nice product",5.0,"It's good product for the beginners.... players can choose better options.... value for money... nice product...
Read more"
"FEROC Fighter Set of 4 Pieces Aluminium Badminton Racket with 3 Pieces Feather Shuttles ,Aluminum, Multicolor","4.0 out of 5 stars
Good product",4.0,"Value for money
Read more"
"FEROC Fighter Set of 4 Pieces Aluminium Badminton Racket with 3 Pieces Feather Shuttles ,Aluminum, Multicolor","3.0 out of 5 stars
Totally unsatisfied.",3.0,"It's delivered fine, no damage but in the very first day one racquet's strings are tore and the shuttlecocks are also too poor. It's not same as shown. Just waste of money.
Read more"
"FEROC Fighter Set of 4 Pieces Aluminium Badminton Racket with 3 Pieces Feather Shuttles ,Aluminum, Multicolor","5.0 out of 5 stars
Nice product",5.0,"Nice thanks I really like this product and my family also like this product I want this like this product from starting It works very wellThanks Amazon
Read more"
"FEROC Fighter Set of 4 Pieces Aluminium Badminton Racket with 3 Pieces Feather Shuttles ,Aluminum, Multicolor","1.0 out of 5 stars
Not good. Very cheap quality,",1.0,"Not good. Very cheap quality,
Read more"
"FEROC Fighter Set of 4 Pieces Aluminium Badminton Racket with 3 Pieces Feather Shuttles ,Aluminum, Multicolor","2.0 out of 5 stars
Expect beginner rackets, brand no gurantee",2.0,"Got some different brand racket not Feroc brand. Guess that is what u should expect for low price. Paid 499 for 4 rackets and 3 shuttlecock and wanted beginner level rackets and this seems fair deal even if brand is not as promised. Racket comes from Punjab and i stay in south. Racket were delivered fine and no damage.
Read more"
"FEROC Fighter Set of 4 Pieces Aluminium Badminton Racket with 3 Pieces Feather Shuttles ,Aluminum, Multicolor","5.0 out of 5 stars
Amazing",5.0,"Gud to buy.. Racket is light weight wt gud quality in this price range.. Im very sure u will not going to find out in the market. Yes, very nicely packed.Thankyou Amazon 😘
Read more"
"FEROC Fighter Set of 4 Pieces Aluminium Badminton Racket with 3 Pieces Feather Shuttles ,Aluminum, Multicolor","4.0 out of 5 stars
Nice quality",4.0,"I like this product a lot because it has been nearly one year since I buyed this product and trut me it has shine as if it is a new one and no wire broken till now and I have no need to to open another pair till now!!!
Read more"
"Silver's SIL-SM-COMBO-8 Aluminum Badminton Racket Set, White","5.0 out of 5 stars
Good Combo pack - overall happy",5.0,"Overall the combo pack was good quality and children are happy with what we have received. We received the pack with 4 badminton racket, 3 shuttlecock, and  1 cotton badminton net. Great value for money.The entire delivery took bit of a time, probably due to lockdown restrictions. overall happy.
Read more"
"Silver's SIL-SM-COMBO-8 Aluminum Badminton Racket Set, White","4.0 out of 5 stars
Decent racquets for beginners and kids",4.0,"The racquets are good, strings seem decently  strong. Had bought these for kids for summer vacation and used just 2 of the 4. It came with three shuttles. happy to see the raquets lasted inspite of being used roughly - the occasional scraping the ground. Haven't played much smash yet. Well balanced and strong overall. The packaging was also decent, but there was a slight bent to the rod of one when it arrived. Managed to almost straighten it with some force.
Read more"
"Silver's SIL-SM-COMBO-8 Aluminum Badminton Racket Set, White","3.0 out of 5 stars
Batminton",3.0,"Great product except for the corks. They were of very bad quality
Read more"
"Silver's SIL-SM-COMBO-8 Aluminum Badminton Racket Set, White","5.0 out of 5 stars
Value for Money!",5.0,"Don't expect too much in Rs: 500/-. When we are expecting quality then we need to think about the price we are paying for it :). Quality of rackets and cocks are good at this price. We will be getting 4 rackets and 3 cocks. These items can be used by kids. Overall good product.
Read more"
"Silver's SIL-SM-COMBO-8 Aluminum Badminton Racket Set, White","1.0 out of 5 stars
It would bent in the first game",1.0,"It bent in first 15mins, not worth spending your time and money
Read more"
"Silver's SIL-SM-COMBO-8 Aluminum Badminton Racket Set, White","4.0 out of 5 stars
Good",4.0,"Good
Read more"
"Silver's SIL-SM-COMBO-8 Aluminum Badminton Racket Set, White","2.0 out of 5 stars
Below average",2.0,"Frame of racket is good and light weight but wiring is low quality
Read more"
"Silver's SIL-SM-COMBO-8 Aluminum Badminton Racket Set, White","5.0 out of 5 stars
Quality of rackets",5.0,"Good qualityFor beginnersLife to good
Read more"
"Yonex Astrox 77 Play Strung Badminton Racquet, G5 - High Orange, Graphite","5.0 out of 5 stars
Yönex Astorx 77",5.0,"The quality of the product is amazing and I love with the brand and I have played with  the racquet for the first I felt like amazing and the built quality was great
Read more"
"Yonex Astrox 77 Play Strung Badminton Racquet, G5 - High Orange, Graphite","4.0 out of 5 stars
🏸 Smash Your Way to Victory with this Badminton Racket! 🚀",4.0,"Delivered with good quality without any defects.🕵️‍♂️ Expert Advice Counts:I'm not one to make hasty decisions, so I went the extra mile. I consulted a friend, a national-level badminton player, and laid out my budget (around Rs. 3000/-) and my playing requirements:🌟 Skill Level: Beginner to Intermediate💥 Craving Powerful Smashes🏸 Focused on Doubles PlayHe didn't hesitate; this racket was his top pick! 🏆 And boy, am I glad I took his advice!🌟 The Winning Shot:This racket has transformed my game. The smashes are nothing short of spectacular, and it's like it was tailor-made for doubles play.🎶 A String of Changes:But here's the thing – to unlock its full potential, you might want to consider restringing it with something like BG65. It's like giving your racket a turbo boost! 🚀
Read more"
"Yonex Astrox 77 Play Strung Badminton Racquet, G5 - High Orange, Graphite","5.0 out of 5 stars
Head Heavy",5.0,"Liked the buildy quality, and in hand feel...Quite impressive aroumd 3k price.
Read more"
"Yonex Astrox 77 Play Strung Badminton Racquet, G5 - High Orange, Graphite","5.0 out of 5 stars
best in this range!!",5.0,"racquet is headheavy ! and light too ! 83 gram ,best for smash,defense!
Read more"
"Yonex Astrox 77 Play Strung Badminton Racquet, G5 - High Orange, Graphite","3.0 out of 5 stars
Good rucket by yonex in this price,",3.0,Read more
"Yonex Astrox 77 Play Strung Badminton Racquet, G5 - High Orange, Graphite","5.0 out of 5 stars
Good product",5.0,"Value for money is a good brand always a very good brand
Read more"
"Yonex Astrox 77 Play Strung Badminton Racquet, G5 - High Orange, Graphite","4.0 out of 5 stars
Nice product",4.0,"Nice product 😊👍
Read more"
"Yonex Astrox 77 Play Strung Badminton Racquet, G5 - High Orange, Graphite","5.0 out of 5 stars
Best budget racket",5.0,"The racket is good. The packaging is also good.
Read more"
One O One - Lines Collection Triple Compartment Badminton/Tennis Kitbag,"5.0 out of 5 stars
Spacious, good quality and reasonable price",5.0,"This badminton kit bag is good to hold 3-4 racquets and all essential stuffs. Extra pouch for shoes. Material quality is decent and zipper also smooth. I recommend this product for regular players.
Read more"
One O One - Lines Collection Triple Compartment Badminton/Tennis Kitbag,"4.0 out of 5 stars
ONE O ONE LINES collection tennis kit bag",4.0,"product is ok, will hold upto 4 tennis rackets, zip quality slightly on the lower side, shoes, water bottle & towel can fit in
Read more"
One O One - Lines Collection Triple Compartment Badminton/Tennis Kitbag,"5.0 out of 5 stars
GO FOR IT !!!",5.0,"V Good Tennis kit bag. At a very low price. Spacious enough for three adult TENNIS racquets, 2 sets of balls, water bottle, a pair of shoes & a spare T shirt. I even carry my Squash racquet & badminton raquet along with 2 Tennis racquets in this.The material is good. My friends on the court were impressed as its as good as the high end branded bags. Have a look at the photos.....
Read more"
One O One - Lines Collection Triple Compartment Badminton/Tennis Kitbag,"3.0 out of 5 stars
Large bag with average quality",3.0,"Pros: Quite a big bag with three large pockets. I am keeping two tennis rackets, three badminton rackets, one pair of shoes, water bottle, towels and spare shirt and still enough space left.Didn’t like: material quality is average. Shoulders strips are not aligned and one of these is even stitched wrong way. Didn’t expect same. Also mobile holding pplouch can’t hold a 4.7” Mobile properlyVerdict: if you have 5-6 rackets then this is the bag, else go for Prokick bag. Slightly smaller but much better quality and professional bag
Read more"
One O One - Lines Collection Triple Compartment Badminton/Tennis Kitbag,"1.0 out of 5 stars
Very bad quality",1.0,"Zip torn out within 15 days... Worst buy ever...Do not buy this bag...
Read more"
One O One - Lines Collection Triple Compartment Badminton/Tennis Kitbag,"5.0 out of 5 stars
Awesome quality",5.0,"Much more space n lovely quality
Read more"
One O One - Lines Collection Triple Compartment Badminton/Tennis Kitbag,"5.0 out of 5 stars
Value for money",5.0,"This is value for money product... Very practical one to use..
Read more"
