product,title,rating,body
Aristocrat 65 Ltrs Blue Rucksack (Ascent),"5.0 out of 5 stars
Great Buy!",5.0,"- Great bag for the price- Offers many compartments, great quality materials & zippers, straps, even the rain cover.- Comfortable- big enough to pack stuff for weeks.- looks really great- a similar wildcraft bag costs you about 5-6k, hence buying this is a no brainerCons : Only 1Y warranty, but its sturdy enough to last yearsPS : I have travelled but not trekked with this yet
Read more"
Aristocrat 65 Ltrs Blue Rucksack (Ascent),"5.0 out of 5 stars
Terrific Purchase",5.0,"If you are looking for a branded,less flashy, durable and long lasting rucksack then this is worth for you. Enough space with attached rain over!! And most importantly,this is Aristocrat VIP with 1 year warranty. Service at your home!!Go for it. Aristocrat never let me down!! 😀
Read more"
Aristocrat 65 Ltrs Blue Rucksack (Ascent),"5.0 out of 5 stars
best rucksack",5.0,"not so flashy but rugged to the core
Read more"
Aristocrat 65 Ltrs Blue Rucksack (Ascent),"5.0 out of 5 stars
Ultra",5.0,"Best Bagpack just go for it.Best quality
Read more"
Aristocrat 65 Ltrs Blue Rucksack (Ascent),"2.0 out of 5 stars
no rain cover !",2.0,"i am very displeased with the fact that i did not recieve the rain cover, and even cannot replace the bag as it has become unavailable. over all the bag was of good quality
Read more"
Aristocrat 65 Ltrs Blue Rucksack (Ascent),"5.0 out of 5 stars
Good",5.0,"It carries more luggage and it is noths bended  back while carrying .
Read more"
Aristocrat 65 Ltrs Blue Rucksack (Ascent),"1.0 out of 5 stars
Threads are going. Not good. No back support.",1.0,"The media could not be loaded.
                



 Threads are going see pic.  Not good. No back support. Very bad quality. Vip disappointed me. My trip would have been a disaster. I will take wildcraft now. Wildcraft has back support. But wildcraft dosent have any pockets and small belt pocket for keeping id cards.  Aristocrat has all pockets for keeping things. But no good quality
Read more"
Aristocrat 65 Ltrs Blue Rucksack (Ascent),"5.0 out of 5 stars
Best you get of what you pay for.",5.0,"Perfect and gives you 200% of your payment, amazing quality. Highly satisfied.
Read more"
Hiker's way 80 Ltrs Farpoint Internal Frame Rucksack Bags Trekking Bags Backpacks Travel Bag Hiking Bag Camping Bag with W...,"5.0 out of 5 stars
pros and cons",5.0,"The quality in this prize bracket is amazing....its really spacious and comfortable....but the rain cover was stolen as it was not there while the bag was delivered.
Read more"
Hiker's way 80 Ltrs Farpoint Internal Frame Rucksack Bags Trekking Bags Backpacks Travel Bag Hiking Bag Camping Bag with W...,"4.0 out of 5 stars
Good quality.",4.0,"Easy to handle and huge capacity.
Read more"
Hiker's way 80 Ltrs Farpoint Internal Frame Rucksack Bags Trekking Bags Backpacks Travel Bag Hiking Bag Camping Bag with W...,"5.0 out of 5 stars
Value for money",5.0,"Good quality product i like it
Read more"
Hiker's way 80 Ltrs Farpoint Internal Frame Rucksack Bags Trekking Bags Backpacks Travel Bag Hiking Bag Camping Bag with W...,"5.0 out of 5 stars
good",5.0,"Good
Read more"
"Tilak AC Electric Vacuum Air Pump - Quickly Inflates/Deflates Sofa, Bed, Swimming Pool Tubes, Toys, Air Bags, Mattresses","5.0 out of 5 stars
Helpful",5.0,"Nice
Read more"
YFXOHAR 4 Person Waterproof Polyster Outdoor Camping Tent for Hiking and Outdoor Picnic 1 Pcs (180cm X 200cm X 140cm) Mult...,"1.0 out of 5 stars
Pura fatahua Mila",1.0,"No quality
Read more"
YFXOHAR 4 Person Waterproof Polyster Outdoor Camping Tent for Hiking and Outdoor Picnic 1 Pcs (180cm X 200cm X 140cm) Mult...,"5.0 out of 5 stars
Yah camping tent jo hai bahut hi Achcha hai excellent quality",5.0,"The media could not be loaded.
                


Read more"
Leather Bag 16'' Handmade Real Brown Backpack Shoulder Bag Rucksack by Pranjals house,"2.0 out of 5 stars
Bad finishing product from pranjals",2.0,"The leather bagpack was very hard and quite inconvenient to arrange stuff..quite disappointed.Expected soft leather finish
Read more"
"SARRVAD Grey-Black Hiking Solar Bagpack 10W, USB Charging Port (12.5 inches, 20 Ltrs) Weatherproof Canvas","5.0 out of 5 stars
Value for money",5.0,"Nice technology. Look is also good. Very helpful in charging in trecking and outdoor remote areas. Happy to buy. Value for money.
Read more"
"SARRVAD Grey-Black Hiking Solar Bagpack 10W, USB Charging Port (12.5 inches, 20 Ltrs) Weatherproof Canvas","5.0 out of 5 stars
Top most product.",5.0,"Can charge mobile, Bluetooth and powerbank paperback and fabric  is very good.
Read more"
