product,title,rating,body
"Fabtec Car Body Cover Compatible with Hyundai Elite i20 with Mirror & Antenna Pockets (Heavy Duty, Full Sized, Triple Stit...","5.0 out of 5 stars
Good product quality",5.0,"My experience is good with this product.Product quality, material is awesome as shown in description.Price of this product is also fine. Thanks to seller and amazon. 👍
Read more"
"Fabtec Car Body Cover Compatible with Hyundai Elite i20 with Mirror & Antenna Pockets (Heavy Duty, Full Sized, Triple Stit...","4.0 out of 5 stars
Good Quality",4.0,"Quality is good
Read more"
"Fabtec Car Body Cover Compatible with Hyundai Elite i20 with Mirror & Antenna Pockets (Heavy Duty, Full Sized, Triple Stit...","3.0 out of 5 stars
Size Perfect, Quality disappointed",3.0,"Good Stitching, But someplace stitches came, Quality of material not thick, But fully covered with antenna & Mirror pockets has front back elastic
Read more"
"Fabtec Car Body Cover Compatible with Hyundai Elite i20 with Mirror & Antenna Pockets (Heavy Duty, Full Sized, Triple Stit...","5.0 out of 5 stars
Hyundai i20 elite 2017 Fitting very well...",5.0,"Its amazing... Hyundai I20 elite 2017 model perfect fit. Good quality affordable prices. Im really satisfied for the product.
Read more"
"Fabtec Car Body Cover Compatible with Hyundai Elite i20 with Mirror & Antenna Pockets (Heavy Duty, Full Sized, Triple Stit...","1.0 out of 5 stars
Poor quality",1.0,"Product is not a good quality the material is very rough,its not even waterproof and dust may also enter and stitching is not at all good only one belt available in it so it will be loose fitting for your car... better search another don't buy this product
Read more"
"Fabtec Car Body Cover Compatible with Hyundai Elite i20 with Mirror & Antenna Pockets (Heavy Duty, Full Sized, Triple Stit...","5.0 out of 5 stars
Good quality. Perfectly fits my  Hyundai I20",5.0,"Just Awesome.
Read more"
"Fabtec Car Body Cover Compatible with Hyundai Elite i20 with Mirror & Antenna Pockets (Heavy Duty, Full Sized, Triple Stit...","4.0 out of 5 stars
Good for this price",4.0,"Good... Water resistant and 50%value for money
Read more"
"Fabtec Car Body Cover Compatible with Hyundai Elite i20 with Mirror & Antenna Pockets (Heavy Duty, Full Sized, Triple Stit...","2.0 out of 5 stars
Not water and dust proof",2.0,"Waterproof cover would have been better. This gets wet easily from inside. Otherwise, product is good those who have closed parking space.Update : After using 8 monthsCover is not even dust proof. Dust accumulates on the car body despite of being covered.
Read more"
FlagSource Indian Miniature Car Dashboard Flag with Nano ABS Base (Chrome),"5.0 out of 5 stars
Fantastic - Must Buy - FIne Quality",5.0,"Fantastic - Must Buy - FIne Quality. I used feviquick fix to fix it. You will also need quickfix. otherwise it will not stay up on car dashboard. Quality is best. Really a must have. Recommended.
Read more"
FlagSource Indian Miniature Car Dashboard Flag with Nano ABS Base (Chrome),"5.0 out of 5 stars
very nice",5.0,"looks elegant and perfect for car dash boardflag quality is very good and feels it won't get fade in summer heat as opposed to the plastic flag we get on traffic signals.
Read more"
FlagSource Indian Miniature Car Dashboard Flag with Nano ABS Base (Chrome),"4.0 out of 5 stars
Good one",4.0,Read more
FlagSource Indian Miniature Car Dashboard Flag with Nano ABS Base (Chrome),"5.0 out of 5 stars
Nice n shiny",5.0,"Pleasant. Go for it
Read more"
FlagSource Indian Miniature Car Dashboard Flag with Nano ABS Base (Chrome),"5.0 out of 5 stars
Looks Elegant",5.0,"Flag Looks Elegant. bought and installed 3-4 months back  in my car. the double side tape/sticker could have been better.
Read more"
FlagSource Indian Miniature Car Dashboard Flag with Nano ABS Base (Chrome),"1.0 out of 5 stars
Good product",1.0,"Value for money
Read more"
FlagSource Indian Miniature Car Dashboard Flag with Nano ABS Base (Chrome),"5.0 out of 5 stars
Superb Product",5.0,"The product is superb. Only suggession is it could have been a little smaller if its intended to be used in car dashboard so thet view of driver doesnt gets blocked.
Read more"
FlagSource Indian Miniature Car Dashboard Flag with Nano ABS Base (Chrome),"4.0 out of 5 stars
Its good, not the best but not bad",4.0,"Its okay, not bad at all. Its been stuck on my car dashboard with fevicol because the double sided tape wont stick because of dashboard polish.
Read more"
BKN New Alloy Car Vent Fragrance Perfume Diffuser Solid Perfume For Car Interior Smell Flavouring AC Vent Accessories with...,"1.0 out of 5 stars
Worst and useless",1.0,"It never stuck to ur AC vent, no smell, absolutely useless. Please don't waste your money.
Read more"
BKN New Alloy Car Vent Fragrance Perfume Diffuser Solid Perfume For Car Interior Smell Flavouring AC Vent Accessories with...,"1.0 out of 5 stars
Very very bad",1.0,"Very very bad
Read more"
BKN New Alloy Car Vent Fragrance Perfume Diffuser Solid Perfume For Car Interior Smell Flavouring AC Vent Accessories with...,"1.0 out of 5 stars
Dont buy this",1.0,"Waste of money.
Read more"
Fabtec Waterproof and Heat Resistant Metallic Silver With Black Piping Mirror Antenna Pocket Car Body Cover Compatible wit...,"5.0 out of 5 stars
Liked it, Recommending",5.0,"I like this one, built quality, material, look and feel all superb, specially the inner lining, I like it very much, it may protect from small stone hits scratches also you know what kids do while playing. I'm always very concerned about the paint protection, dusts etc so cover is my 1st priority and always use covers after wash even when it stays in my locked garage. My old OEM cover which I got with the new car delivery 10 years back does its job excellent so far but became older so wanted to replace it since long time but didnt find one with good reviews or branded. However the older one was kind of parachute material, very light and thin which was not waterproof but if you pack the large cover it get into a small bag, very easy to carry anddont take space in boot. It was cost 1.5k 10 years back so in that respect this one is worthful at this price, I must say much betterer. However there have other good too with window side chain opening etc.But it looks bulky, it will take space into the boot after pack and maybe harder to pack/fold. My car is 2013 Verna and the cover isnt 100% perfect fit/aligned at the mirror pockets. Also no pocket for longer antenna, so had to remove it. Overall it coverup from top to bottom, no size issue and the elastics at the edges below hold it lock perfectly with good strength so it wont fly with mid wind flow.Most sad part is no carrying bag came with it. I always carry cover in the boot so if it get wet and dirty in rain I've to arrange something for it. Lets see how user friendly it is and how long it goes. Even cheap covers dont get damaged easily but the main thing is the elastics belts, once it get loosen even covers get worse in some high wind areas like near sea beaches etc. Low quality elastics damages quickly by heat and water.I always wanted a good protective cover but no time to go to market and check so took a chance with it looking at its details, reviews, rating and I'm really happy with it after covering the car first day. I will update after some use, road trips and experience of different weather.
Read more"
Fabtec Waterproof and Heat Resistant Metallic Silver With Black Piping Mirror Antenna Pocket Car Body Cover Compatible wit...,"4.0 out of 5 stars
Looks good",4.0,"Ordered a cover for my Baleno 2017 model. The cover looked good and fitted perfectly. This prompted me to order a same quality cover for my Honda City 2012 as the Maruti Ciaz cover that I had brought for it a year back although fitted perfectly was now wearing out. Unfortunately the cover that I received was torn at one place and was old, faded and worn out. Had to request a replacement, which I have received now. The covers appear to be of good quality. However how these behave in hot and cold weather, sun and snow, only time will show.
Read more"
Fabtec Waterproof and Heat Resistant Metallic Silver With Black Piping Mirror Antenna Pocket Car Body Cover Compatible wit...,"5.0 out of 5 stars
Quality product",5.0,"At first when I received the cover it was torn at back side but the seller immediately replaced it with another one.. it fits perfectly on my city 2012 model.. total value for money.. highly recommended..
Read more"
Fabtec Waterproof and Heat Resistant Metallic Silver With Black Piping Mirror Antenna Pocket Car Body Cover Compatible wit...,"3.0 out of 5 stars
Cover protection is good but Stitch quality is bad",3.0,"Fits pefectly on Venue and protects it from rain as well, Cloth quality is good and thick only issue is stitching is bad, already torn from one side after one week of use. Rest it is value for money.
Read more"
Fabtec Waterproof and Heat Resistant Metallic Silver With Black Piping Mirror Antenna Pocket Car Body Cover Compatible wit...,"4.0 out of 5 stars
Good Quality product but little small for Grand vitara",4.0,"The product quality is very good.It could have been 3-4inch long. Its very tight cover for Grand vitara.
Read more"
Fabtec Waterproof and Heat Resistant Metallic Silver With Black Piping Mirror Antenna Pocket Car Body Cover Compatible wit...,"5.0 out of 5 stars
Excellent Product and good quality",5.0,"I had brought a cover from showroom which was thin and was not water proof. It was also costlier than this product. This product had good quality. Soft material inside which does not damage your car. Fully Waterproof. My car is parked in open during rainy season but does not get wet because of this product.I highly recommend this product to Wagon R owner.
Read more"
Fabtec Waterproof and Heat Resistant Metallic Silver With Black Piping Mirror Antenna Pocket Car Body Cover Compatible wit...,"5.0 out of 5 stars
Good quality",5.0,"Very good quality for the price. The inner side is soft enough. The cover is not very thick but works great.
Read more"
Fabtec Waterproof and Heat Resistant Metallic Silver With Black Piping Mirror Antenna Pocket Car Body Cover Compatible wit...,"3.0 out of 5 stars
Good Cover",3.0,"Overall protects well during summers. But in Rainy season the water gets in through the black stitching part leading to moisture inside the cover. During heavy winds the cover comes off from the Car. The inner lining of the cover is soft so does not leave scratches. Overall a Good product to protect from dust and dirt.
Read more"
Mand Silicone Key Cover for Maruti Suzuki Nippon Remote (Pack of 1),"5.0 out of 5 stars
good product",5.0,"Nice
Read more"
Mand Silicone Key Cover for Maruti Suzuki Nippon Remote (Pack of 1),"5.0 out of 5 stars
Most affordable and low price range product",5.0,"M
Read more"
Mand Silicone Key Cover for Maruti Suzuki Nippon Remote (Pack of 1),"3.0 out of 5 stars
Good product",3.0,"Cool product for safety of remote in this range..
Read more"
Mand Silicone Key Cover for Maruti Suzuki Nippon Remote (Pack of 1),"5.0 out of 5 stars
Too costly but good product",5.0,"Good but costly
Read more"
STR Stickers Hanumanji Face Cut Out Reflective Radium Stickers Self Adhesive Bike and Car Propose(5.5X9.5 inch) Orange Red...,"5.0 out of 5 stars
Satisfied",5.0,"Looks good in the car... Sticker quality is good...
Read more"
STR Stickers Hanumanji Face Cut Out Reflective Radium Stickers Self Adhesive Bike and Car Propose(5.5X9.5 inch) Orange Red...,"4.0 out of 5 stars
Good product",4.0,"Good but adharance was not so good
Read more"
STR Stickers Hanumanji Face Cut Out Reflective Radium Stickers Self Adhesive Bike and Car Propose(5.5X9.5 inch) Orange Red...,"3.0 out of 5 stars
Good",3.0,"Very small
Read more"
STR Stickers Hanumanji Face Cut Out Reflective Radium Stickers Self Adhesive Bike and Car Propose(5.5X9.5 inch) Orange Red...,"5.0 out of 5 stars
Very Nice product. Looks very good",5.0,"Very Nice product. Looks very good
Read more"
STR Stickers Hanumanji Face Cut Out Reflective Radium Stickers Self Adhesive Bike and Car Propose(5.5X9.5 inch) Orange Red...,"5.0 out of 5 stars
Very nice",5.0,"Simply superb…Jai Hanuman
Read more"
STR Stickers Hanumanji Face Cut Out Reflective Radium Stickers Self Adhesive Bike and Car Propose(5.5X9.5 inch) Orange Red...,"1.0 out of 5 stars
The quality of adhesion is very poor.",1.0,"The quality of adhesion is very poor. The full sticker does not come with sticker. Half of the sticker is within the paper. Very disappointed.
Read more"
